time_idx,hour_of_day,hour_of_day_cos,hour_of_day_sin,month_of_year,month_of_year_cos,month_of_year_sin,season_of_year,season_of_year_cos,season_of_year_sin,sunposition_thetaZ,sunposition_solarAzimuth,sunposition_extraTerr,sunposition_solarHeight,clearsky_diffuse,clearsky_direct,clearsky_global,clearsky_diffuse_agg,clearsky_direct_agg,clearsky_global_agg,Albedo,WindComponentUat0,WindComponentVat0,WindComponentUat100,WindComponentVat100,DewpointTemperatureAt0,TemperatureAt0,PotentialVorticityAt1000,PotentialVorticityAt950,RelativeHumidityAt1000,RelativeHumidityAt950,RelativeHumidityAt0,SnowDensityAt0,SnowDepthAt0,SnowfallPlusStratiformSurfaceAt0,SurfacePressureAt0,SolarRadiationGlobalAt0,SolarRadiationDirectAt0,SolarRadiationDiffuseAt0,TotalCloudCoverAt0,LowerWindSpeed,LowerWindDirection,LowerWindDirectionMath,LowerWindDirectionCos,LowerWindDirectionSin,UpperWindSpeed,UpperWindDirection,UpperWindDirectionMath,UpperWindDirectionCos,UpperWindDirectionSin
11,0.285714286,0.838278027,0.732543693,0.909090909,0.01733238,0.258819045,1,0,0,1,0.253177474,3.70E-18,0,0,0,0,0,0,0,0.167150051,0.324853549,0.832465374,0.361814383,0.817805177,0.518970703,0.338093289,0.45267091,0.237156374,0.736111111,0.827411281,0.808485803,9.06E-08,0,3.99E-19,0.16417626,0,0,4.97E-04,1,0.491530774,0.484771635,0.264524328,0.454333605,0.997910226,0.534974524,0.494374086,0.255515541,0.482661378,0.999699318
12,0.428571429,0.661157201,0.944462683,0.909090909,0.01733238,0.258819045,1,0,0,0.713414482,0.380224605,0.359431199,0.286585518,0.444171469,0.244729934,0.285885534,0.260863678,0.107094666,0.138648772,0.167149759,0.379841101,0.957357866,0.423972642,0.935629096,0.570053361,0.348250734,0.517271671,0.260805799,0.854166667,0.910152409,0.901724777,9.06E-08,0,3.99E-19,0.084665012,0.008139146,0,0.018619662,1,0.641618186,0.508986182,0.240339132,0.53022116,0.999085846,0.690658458,0.518135663,0.231789731,0.55706925,0.996732422
13,0.571428571,0.455788372,1,0.909090909,0.01733238,0.258819045,1,0,0,0.64714962,0.555610766,0.439108533,0.35285038,0.512708073,0.339788029,0.376727713,0.512389457,0.346648985,0.382934397,0.167149954,0.463117788,0.839094826,0.549836463,0.870861504,0.632471109,0.416334618,0.471248474,0.236000233,0.833333333,0.894638448,0.871611813,9.06E-08,0,3.99E-19,0.035563061,0.117515888,0.048283262,0.172790467,0.8984375,0.524505601,0.550463704,0.198911887,0.657633925,0.974501356,0.663196016,0.568324481,0.181676459,0.708096849,0.954637775
14,0.714285714,0.256175975,0.88995992,0.909090909,0.01733238,0.258819045,1,0,0,0.911026958,0.714830488,0.113141013,0.088973042,0.213089983,0.051407572,0.083323547,0.388617684,0.201572537,0.240656529,0.167150148,0.5127305,0.850890186,0.552005398,0.827376707,0.634050202,0.433590357,0.476299274,0.225097517,0.770833333,0.842925243,0.831338545,9.06E-08,0,3.99E-19,4.19E-04,0.162448433,0.091872318,0.192154916,0.984375,0.566129041,0.56942952,0.179969059,0.712853922,0.952430326,0.614344018,0.575147433,0.174863778,0.727361007,0.945316453
15,0.857142857,0.095371312,0.632562594,0.909090909,0.01733238,0.258819045,1,0,0,1,0.745782795,3.72E-18,0,0,0,0,0.02428004,0.003120664,0.007348386,0.167163863,0.722479164,0.53974753,0.742928605,0.516417561,0.641160517,0.401941315,0.365136805,0.275116901,0.902777778,0.946351653,0.929080504,9.06E-08,0,3.99E-19,0.005736606,0.003567845,2.68E-04,0.007944389,1,0.57757276,0.710694394,0.038875415,0.985110471,0.621110989,0.597136182,0.710214055,0.040000464,0.9842857,0.624366221
16,1,0,0.270427199,0.909090909,0.01733238,0.258819045,1,0,0,1,0.745523606,3.73E-18,0,0,0,0,0,0,0,0.167132542,0.698775139,0.359836092,0.720874511,0.325374388,0.55489167,0.33654397,0.465041555,0.223164326,0.861111111,0.925666371,0.896524943,9.06E-08,0,3.99E-19,0.122722189,0,0,4.97E-04,0.75,0.529218485,0.772469748,0.977311029,0.994898823,0.428759572,0.552159035,0.778231417,0.972097064,0.992333395,0.412774632
17,0,1,0,0.909090909,0.01733238,0.258819045,1,0,0,1,0.254735706,3.73E-18,0,0,0,0,0,0,0,0.167129332,0.65669517,0.582240997,0.713989415,0.555145401,0.496347698,0.299961949,0.461365085,0.240029573,0.777777778,0.863610525,0.853827108,9.06E-08,0,3.99E-19,0.171678082,0,0,4.97E-04,0.546875,0.497413595,0.687059735,0.062481426,0.961890603,0.691460453,0.568601315,0.693547274,0.056642157,0.968660306,0.674232675
18,0.142857143,0.957823644,0.399332025,0.909090909,0.01733238,0.258819045,1,0,0,1,0.254994196,3.74E-18,0,0,0,0,0,0,0,0.141252449,0.634182668,0.530152444,0.698694141,0.49844139,0.549436404,0.322894455,0.453358075,0.234427264,0.861111111,0.956694294,0.919399434,9.06E-08,0,3.99E-19,0.192894065,0,0,4.97E-04,0.421875,0.443579476,0.703019766,0.046540741,0.97871811,0.64432259,0.524103499,0.71175967,0.038457175,0.985468866,0.619664476
19,0.285714286,0.838278027,0.732543693,0.909090909,0.01733238,0.258819045,1,0,0,1,0.255252335,3.74E-18,0,0,0,0,0,0,0,0.141252449,0.596208949,0.590163303,0.64799406,0.558448052,0.549834575,0.325424483,0.433663658,0.238755073,0.861111111,0.992893538,0.913689961,9.06E-08,0,3.99E-19,0.224645705,0,0,4.97E-04,0.90625,0.417518568,0.670288017,0.079232815,0.939223542,0.738919877,0.474591415,0.680111493,0.070057714,0.952327301,0.713071535
20,0.428571429,0.661157201,0.944462683,0.909090909,0.01733238,0.258819045,1,0,0,0.718320808,0.380588701,0.353642101,0.281679192,0.439309271,0.238715084,0.280035359,0.253536542,0.103294451,0.134111596,0.141252449,0.582059619,0.675389205,0.593710521,0.622261339,0.549914529,0.361707841,0.427629512,0.197468498,0.743055556,0.925666371,0.819946326,9.06E-08,0,3.99E-19,0.245691982,0.072471847,0.021325107,0.122393247,0.53125,0.458734228,0.635385377,0.114093149,0.876825191,0.828637777,0.446259071,0.640369622,0.109739764,0.885764708,0.818096015
21,0.571428571,0.455788372,1,0.909090909,0.01733238,0.258819045,1,0,0,0.652176304,0.555363867,0.43335885,0.347823696,0.508444926,0.33288502,0.370269546,0.508037287,0.339504453,0.376273449,0.141252449,0.550736259,0.744923569,0.55480301,0.677816343,0.476806123,0.397276846,0.42298428,0.206098385,0.416666667,0.667100346,0.567926577,9.06E-08,0,3.99E-19,0.215848834,0.301036905,0.188438841,0.321996028,1,0.486939076,0.604457218,0.144983819,0.806373889,0.895139268,0.454329241,0.607286877,0.142772712,0.811937768,0.890761359
22,0.714285714,0.256175975,0.88995992,0.909090909,0.01733238,0.258819045,1,0,0,0.915272919,0.714170533,0.107811725,0.084727081,0.207172983,0.048180475,0.079542102,0.383563843,0.196219294,0.235310009,0.141252449,0.426620484,0.823212773,0.455829759,0.786942905,0.475622802,0.348932779,0.409067655,0.201307434,0.576388889,0.749841474,0.682117208,9.06E-08,0,3.99E-19,0.161395592,0.13379418,0.038492489,0.227159881,1,0.490843134,0.535292511,0.21406469,0.611818282,0.987336295,0.511470375,0.540424545,0.209534399,0.625745562,0.983929728
23,0.857142857,0.095371312,0.632562594,0.909090909,0.01733238,0.258819045,1,0,0,1,0.743719132,3.76E-18,0,0,0,0,0.022777437,0.002655107,0.006672548,0.141252449,0.461801572,0.841421742,0.49829634,0.81334226,0.512687912,0.293220473,0.471264181,0.220087002,0.868055556,0.961865614,0.910186549,9.06E-08,0,3.99E-19,0.106155027,6.69E-04,0,0.001986097,1,0.526544589,0.549623129,0.199751443,0.655129048,0.975326172,0.563880647,0.556239835,0.193742915,0.673063743,0.969093597
24,1,0,0.270427199,0.909090909,0.01733238,0.258819045,1,0,0,1,0.743462776,3.77E-18,0,0,0,0,0,0,0,0.141252449,0.557884528,0.72647453,0.603099485,0.687089197,0.52212729,0.292934732,0.550027823,0.336380353,0.902777778,0.977379576,0.933486715,9.06E-08,0,3.99E-19,0.071471097,0,0,4.97E-04,1,0.476565675,0.611846119,0.137603875,0.824358047,0.880515257,0.513598209,0.623352454,0.126731317,0.849672887,0.857391121
25,0,1,0,0.909090909,0.01733238,0.258819045,1,0,0,1,0.256793691,3.77E-18,0,0,0,0,0,0,0,0.141270347,0.743924837,0.558200974,0.78929244,0.523624188,0.552103672,0.333025336,0.463696396,0.213784834,0.840277778,0.930837691,0.89913699,9.06E-08,0,3.99E-19,0.102313004,0,0,4.97E-04,0.8828125,0.615115287,0.707187973,0.042377587,0.982328615,0.631754117,0.670051958,0.712383357,0.037834427,0.985933378,0.617764017
26,0.142857143,0.957823644,0.399332025,0.909090909,0.01733238,0.258819045,1,0,0,1,0.257049322,3.77E-18,0,0,0,0,0,0,0,0.140897899,0.831989262,0.475304189,0.863526173,0.43947645,0.547826129,0.334242248,0.454139479,0.218812503,0.826388889,0.920914999,0.885868803,9.06E-08,0,3.99E-19,0.108021789,0,0,4.97E-04,0.3671875,0.731294152,0.735963723,0.013636716,0.998147994,0.542995598,0.769398817,0.739928652,0.010330595,0.998945565,0.53245293
27,0.285714286,0.838278027,0.732543693,0.909090909,0.01733238,0.258819045,1,0,0,1,0.257304589,3.78E-18,0,0,0,0,0,0,0,0.140897802,0.785616002,0.485776962,0.82119454,0.444369168,0.528666734,0.322564202,0.458604646,0.215779777,0.810178333,0.924909958,0.871150235,9.06E-08,0,3.99E-19,0.172256751,0,0,4.97E-04,0.7109375,0.661616054,0.73148654,0.018108473,0.996743713,0.556971289,0.703523419,0.737534481,0.012721161,0.998401822,0.539943282
28,0.428571429,0.661157201,0.944462683,0.909090909,0.01733238,0.258819045,1,0,0,0.723177576,0.380933717,0.347896273,0.276822424,0.434443604,0.232808739,0.274273005,0.246888732,0.099620778,0.129811853,0.140897607,0.736862295,0.504984753,0.760857819,0.463678453,0.524888904,0.358279667,0.412311633,0.215618535,0.678473579,0.851423486,0.770950157,9.06E-08,0,3.99E-19,0.23713715,0.092429479,0.061561159,0.092353525,0.28125,0.590634449,0.723034883,0.026549885,0.993025493,0.58322203,0.611871562,0.729136198,0.021106803,0.995606536,0.566135578
29,0.571428571,0.455788372,1,0.909090909,0.01733238,0.258819045,1,0,0,0.657123527,0.555107652,0.427683631,0.342876473,0.504197673,0.326133943,0.363938381,0.503688885,0.332499579,0.36972658,0.14089751,0.821117485,0.463147624,0.814008655,0.440976451,0.512329718,0.39368211,0.424285685,0.205686703,0.527777778,0.770526756,0.65498268,9.06E-08,0,3.99E-19,0.275284744,0.296131118,0.234978541,0.224925521,0.4140625,0.713499306,0.738889906,0.01071408,0.998853423,0.533842389,0.691930476,0.738326263,0.011930572,0.998594095,0.537467045
30,0.714285714,0.256175975,0.88995992,0.909090909,0.01733238,0.258819045,1,0,0,0.919429616,0.713509284,0.102587635,0.080570384,0.20134105,0.04506783,0.075870528,0.378559257,0.191011327,0.230091147,0.140897413,0.618838352,0.490395554,0.683741386,0.46230428,0.520013304,0.383033593,0.464745373,0.209088227,0.5625,0.770526756,0.698228962,9.06E-08,0,3.99E-19,0.302348614,0.173374958,0.115745708,0.172293942,0.953125,0.408978057,0.718110686,0.031468113,0.99021919,0.598413354,0.491757997,0.724525781,0.02571028,0.993486533,0.580440981
31,0.857142857,0.095371312,0.632562594,0.909090909,0.01733238,0.258819045,1,0,0,1,0.741678499,3.80E-18,0,0,0,0,0.021753507,0.002207909,0.006106554,0.140897315,0.540771113,0.585550217,0.593302965,0.560844742,0.555214685,0.371886824,0.46513299,0.2304734,0.722222222,0.894638448,0.806301217,9.06E-08,0,3.99E-19,0.322081759,0.002787379,0,0.006703078,1,0.341835395,0.653828995,0.095671887,0.912252494,0.782927379,0.400112282,0.664459988,0.085685659,0.929259977,0.756389007
32,1,0,0.270427199,0.909090909,0.01733238,0.258819045,1,0,0,1,0.741425081,3.80E-18,0,0,0,0,0,0,0,0.140896926,0.425091248,0.583407208,0.479399722,0.576695746,0.583037903,0.350070717,0.480498551,0.236765276,0.888888889,0.868781845,0.927646821,9.06E-08,0,3.99E-19,0.317309137,0,0,4.97E-04,1,0.216733161,0.580715967,0.168696293,0.74433438,0.936234691,0.279056371,0.600775076,0.14927471,0.795718225,0.903175363
33,0,1,0,0.909090909,0.01733238,0.258819045,1,0,0,1,0.258828433,3.81E-18,0,0,0,0,0,0,0,0.140896537,0.27651116,0.533242518,0.316658582,0.550648047,0.599289368,0.35016046,0.492772151,0.365930556,0.951388889,0.967036935,0.966048903,9.06E-08,0,3.99E-19,0.293240153,0,0,4.97E-04,1,0.173572668,0.382783704,0.366388638,0.166041746,0.872118258,0.210944963,0.430649616,0.31914409,0.289535274,0.95354664
34,0.142857143,0.957823644,0.399332025,0.909090909,0.01733238,0.258819045,1,0,0,1,0.259081099,3.81E-18,0,0,0,0,0,0,0,0.140495492,0.71813738,0.734145753,0.766029228,0.697886555,0.69824213,0.45869033,0.496460401,0.237566341,0.868055556,0.956694294,0.915490462,9.06E-08,0,3.99E-19,0.27960389,0,0,4.97E-04,1,0.66834021,0.655291996,0.094210659,0.914832338,0.779131068,0.723523467,0.661797221,0.088344418,0.924917212,0.76352384
35,0.285714286,0.838278027,0.732543693,0.909090909,0.01733238,0.258819045,1,0,0,1,0.259333387,3.82E-18,0,0,0,0,0,0,0,0.140495492,0.678929708,0.715719841,0.7275645,0.682189856,0.696833339,0.457404496,0.489262283,0.231363663,0.868055556,0.961865614,0.915527114,0,0,3.99E-19,0.288598287,0,0,4.97E-04,1,0.60608265,0.651339743,0.098158122,0.907783245,0.789331722,0.661695846,0.658265802,0.091870522,0.918975042,0.772872439
36,0.428571429,0.661157201,0.944462683,0.909090909,0.01733238,0.258819045,1,0,0,0.727982757,0.381259688,0.342196738,0.272017243,0.429578015,0.227012407,0.268600391,0.242120203,0.09595392,0.125890401,0.140495492,0.678481155,0.673660261,0.723414149,0.640962676,0.701642577,0.459732782,0.471008948,0.223850463,0.875,0.977379576,0.920707137,9.06E-08,0,3.99E-19,0.32436583,0.007693165,0,0.017626614,1,0.577545439,0.662571133,0.086940345,0.927144456,0.759899285,0.628630654,0.668602937,0.081548947,0.935778187,0.745146535
37,0.571428571,0.455788372,1,0.909090909,0.01733238,0.258819045,1,0,0,0.661989482,0.554842284,0.4220859,0.338010518,0.499970159,0.319535772,0.357735758,0.499347911,0.325635899,0.363295762,0.140495492,0.635013097,0.598552533,0.675478079,0.569010973,0.711731981,0.462687832,0.431616189,0.26850254,0.902777778,0.992893538,0.936562448,9.06E-08,0,3.99E-19,0.352812384,0.023748467,0,0.053376365,1,0.475170102,0.67678499,0.072743717,0.948595885,0.720820656,0.5194754,0.68198121,0.068190811,0.954795461,0.707751195
38,0.714285714,0.256175975,0.88995992,0.909090909,0.01733238,0.258819045,1,0,0,0.923495544,0.712846995,0.097471121,0.076504456,0.195598819,0.042067925,0.072308329,0.373608258,0.185948202,0.225000451,0.140495492,0.59164289,0.415924341,0.634352856,0.38866582,0.68964067,0.441344849,0.364420471,0.174561816,0.909722222,0.967036935,0.940271141,9.06E-08,0,3.99E-19,0.381926632,0.013602408,0,0.030784508,1,0.359153062,0.753358874,0.996398739,0.999867202,0.488474975,0.408022777,0.756221217,0.994074133,0.999652993,0.481372885
39,0.857142857,0.095371312,0.632562594,0.909090909,0.01733238,0.258819045,1,0,0,1,0.739661752,3.84E-18,0,0,0,0,0.020746607,0.001778701,0.005558537,0.140495492,0.532737861,0.472735001,0.588365142,0.441171815,0.658073203,0.411983171,0.436705694,0.22576307,0.909722222,0.998064858,0.942652454,9.06E-08,0,3.99E-19,0.425182086,4.46E-04,0,0.001489573,0.9921875,0.275041212,0.71520284,0.034372435,0.988342051,0.607340969,0.339512292,0.72579069,0.024447275,0.99410935,0.57652236
40,1,0,0.270427199,0.909090909,0.01733238,0.258819045,1,0,0,1,0.739411382,3.84E-18,0,0,0,0,0,0,0,0.140495492,0.548036283,0.468399428,0.604638118,0.440001616,0.63377516,0.392127047,0.424969484,0.216330402,0.895833333,0.951522973,0.937317764,9.06E-08,0,3.99E-19,0.454958464,1.11E-04,0,7.45E-04,0.9296875,0.297058199,0.72055651,0.029025254,0.991671738,0.590878739,0.364585677,0.728139753,0.022101748,0.995183407,0.569232488
41,0,1,0,0.909090909,0.01733238,0.258819045,1,0,0,1,0.260839072,3.84E-18,0,0,0,0,0,0,0,0.140495492,0.504189812,0.477145459,0.577065217,0.455842686,0.606226184,0.370034533,0.422334699,0.211367917,0.868055556,0.936009012,0.930133684,9.06E-08,0,3.99E-19,0.468418066,0,0,4.97E-04,1,0.233766779,0.705460058,0.044103407,0.980871793,0.63697576,0.325553244,0.715384564,0.034837737,0.98806447,0.608594227
42,0.142857143,0.957823644,0.399332025,0.909090909,0.01733238,0.258819045,1,0,0,1,0.261088664,3.85E-18,0,0,0,0,0,0,0,0.140067212,0.418254714,0.521819377,0.467804969,0.49401291,0.634991261,0.384600142,0.493880589,0.247242587,0.944444444,0.936009012,0.95994422,9.06E-08,0,3.99E-19,0.412317845,0,0,4.97E-04,1,0.149050394,0.608889063,0.140557346,0.817242278,0.886467773,0.18875817,0.641518978,0.108592138,0.888048349,0.815306138
43,0.285714286,0.838278027,0.732543693,0.909090909,0.01733238,0.258819045,1,0,0,1,0.261337864,3.85E-18,0,0,0,0,0,0,0,0.140067212,0.378614942,0.517062029,0.427325224,0.497565892,0.628453416,0.379901211,0.491488135,0.286474182,0.9375,0.956837986,0.956820092,9.06E-08,0,3.99E-19,0.416219683,0,0,4.97E-04,1,0.114098137,0.549726541,0.199648156,0.655437447,0.975225411,0.148749462,0.594635041,0.155405504,0.779972171,0.914264716
44,0.428571429,0.661157201,0.944462683,0.909090909,0.01733238,0.258819045,1,0,0,0.732734319,0.381566661,0.336546533,0.267265681,0.424716162,0.221327512,0.263019389,0.237356447,0.092365347,0.122033423,0.140067212,0.442312039,0.487135889,0.457327744,0.454615533,0.632161686,0.398271913,0.466869693,0.231392824,0.881944444,0.930837691,0.917502088,9.06E-08,0,3.99E-19,0.435962565,0.040584235,0.006571888,0.078699106,1,0.150205207,0.666559269,0.082957044,0.93351387,0.749129987,0.146883781,0.672731428,0.07742667,0.94198082,0.73377855
45,0.571428571,0.455788372,1,0.909090909,0.01733238,0.258819045,1,0,0,0.66677238,0.554567936,0.416568656,0.33322762,0.495766353,0.313091418,0.351663191,0.495018112,0.318914853,0.356982904,0.140067212,0.451286559,0.517721671,0.454962618,0.477436078,0.597282521,0.441060544,0.427302478,0.226329133,0.618055556,0.827411281,0.7292621,9.06E-08,0,3.99E-19,0.438505367,0.24183298,0.106089056,0.342601787,1,0.182285713,0.645143922,0.104346433,0.896229594,0.804962499,0.159705417,0.645286626,0.104830161,0.895392146,0.806046604
46,0.714285714,0.256175975,0.88995992,0.909090909,0.01733238,0.258819045,1,0,0,0.927469232,0.712183928,0.092464504,0.072530768,0.189950838,0.039178988,0.068854944,0.368715171,0.181029399,0.220038358,0.140067212,0.409483688,0.471524741,0.45529159,0.474622831,0.615913419,0.439063229,0.438537759,0.209746918,0.652777778,0.873953166,0.776242125,9.06E-08,0,3.99E-19,0.433553301,0.087746683,0.006303648,0.184210526,1,0.097417687,0.652965211,0.096534624,0.91071298,0.78515762,0.157931824,0.648456504,0.101665055,0.901399843,0.798123519
47,0.857142857,0.095371312,0.632562594,0.909090909,0.01733238,0.258819045,1,0,0,1,0.737669765,3.87E-18,0,0,0,0,0.019757505,0.001515786,0.005148994,0.140067212,0.330142662,0.520282049,0.379363139,0.551089769,0.624220648,0.387245041,0.519571568,0.258177895,0.840277778,0.92049505,0.927564367,9.06E-08,0,3.99E-19,0.418346567,6.69E-04,0,0.001986097,0.4453125,0.117816309,0.450479574,0.298774824,0.349074683,0.976677657,0.19195373,0.507272211,0.242636831,0.523108874,0.999465715
48,1,0,0.270427199,0.909090909,0.01733238,0.258819045,1,0,0,1,0.737422551,3.88E-18,0,0,0,0,0,0,0,0.140067212,0.331948131,0.549460448,0.380175542,0.599765298,0.629023489,0.384745166,0.498806858,0.244741618,0.895833333,0.884295807,0.945437673,9.06E-08,0,3.99E-19,0.401254987,1.11E-04,0,7.45E-04,1,0.151171099,0.464001787,0.285269001,0.390014292,0.987753188,0.254531069,0.506266474,0.243641054,0.519956982,0.999601583
49,0,1,0,0.909090909,0.01733238,0.258819045,1,0,0,1,0.262824733,3.88E-18,0,0,0,0,0,0,0,0.140067212,0.271326824,0.572185594,0.284071442,0.604887156,0.633205887,0.389520917,0.515571429,0.250115786,0.902777778,0.884295807,0.942796403,9.06E-08,0,3.99E-19,0.357781141,0,0,4.97E-04,1,0.215410328,0.401213948,0.347980733,0.211209981,0.908167144,0.296238818,0.421507052,0.328272892,0.263881413,0.940735682
50,0.142857143,0.957823644,0.399332025,0.909090909,0.01733238,0.258819045,1,0,0,1,0.26307114,3.89E-18,0,0,0,0,0,0,0,0.139684648,0.588933388,0.67330346,0.653891158,0.658873946,0.621444642,0.390192193,0.442838567,0.220263682,0.854166667,0.904981089,0.91335956,9.06E-08,0,3.99E-19,0.323464443,0,0,4.97E-04,0.3203125,0.465124422,0.638379956,0.1111022,0.882933456,0.821499583,0.549664606,0.64726003,0.102859727,0.899150755,0.801128118
